Artist,Song Name,Rank in Top US Chart
Elton John & Dua Lipa,Cold Heart (PNAU Remix),1
Latto,Big Energy,2
Muni Long,Hrs and Hrs,3
Billie Eilish,Billie Bossa Nova,4
Kodak Black,Super Gremlin,5
Glass Animals,Heat Waves,6
Gerry Rafferty,Right Down The Line,7
GAYLE,abcdefu,8
Orville Peck,Dead Of Night,9
NEIKED & Mae Muller Feat. Polo G,Better Days,10
Ed Sheeran,Shivers,11
Adele,Oh My God,12
Moneybagg Yo,Scorpio,13
Alesso & Katy Perry,When I'm Gone,14
"Bruno Mars, Anderson .Paak & Silk Sonic",Smokin Out The Window,15
Adele,Easy On Me,16
SZA,I Hate U,17
Post Malone & The Weeknd,One Right Now,18
Farruko,Pepas,19
Doja Cat,Need To Know,20
Drake Feat. 21 Savage & Project Pat,Knife Talk [Mixed],21
GIVĒON,For Tonight,22
Acraze Feat. Cherish,Do It to It,23
Jnr Choi,TO THE MOON,24
Billy Swan,Don't Be Cruel,25
"THE ANXIETY, WILLOW & Tyler Cole",Meet Me At Our Spot,26
The Kid LAROI & Justin Bieber,Stay,27
Brandi Carlile,Right On Time,28
Måneskin,Beggin,29
Justin Bieber,Ghost,30
Lauren Spencer-Smith,Fingers Crossed,31
Billie Eilish,Happier Than Ever,32
Lil Nas X & Jack Harlow,INDUSTRY BABY,33
Labrinth & Zendaya,All For Us (From The HBO Original Series Euphoria),34
Ed Sheeran,Bad Habits,35
Fireboy DML & Ed Sheeran,Peru,36
Blxst & Tyga Feat. Ty Dolla $ign,Chosen,37
Wizkid Feat. Justin Bieber & Tems,Essence [Mixed],38
Chlöe,Have Mercy,39
Yung Bleu & Kehlani,Beautiful Lies,40
Gunna & Drake,Pussy Power,41
CKay Feat. Axel & Dj Yo!,love nwantiti [Remix],42
CKay,Love Nwantiti (Ah Ah Ah),43
Lil Nas X,THATS WHAT I WANT,44
Ari Lennox,Pressure,45
Labrinth,When I R.I.P.,46
YEИDRY,Love Is Not Hard To Find (From The Amazon Original Movie Hotel Transylvania: Transformania),47
Pink Floyd,Time,48
Wale Feat. Cool & Dre & J. Cole,Poke It Out,49
Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),50
