Importance Score,Song Name,Artist,Rank in USTop20 Chart,New York City,Los Angeles,Chicago,Houston,Atlanta,Dallas,Miami,Phoenix,Riverside,"Washington, D.C.",Philadelphia,Boston,Anaheim,Denver,Las Vegas,San Diego,Detroit,Seattle,San Antonio,Orlando,Number of Cities Song Broke Top20,Broke USTop20 Charts
15.55,You Problem,MONSTA X,,,,1.0,,1.0,2.0,1.0,,,7.0,,,,,,,,,,5.0,7,False
16.0,Do It to It,Acraze Feat. Cherish,,11.0,9.0,16.0,,,,4.0,,9.0,,,,6.0,,20.0,8.0,,,,6.0,10,False
16.4,Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,,,15.0,,6.0,14.0,10.0,,7.0,19.0,,18.0,,20.0,17.0,6.0,,,,7.0,,12,False
17.0,Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",,,8.0,,,,,,,8.0,,,,13.0,4.0,3.0,10.0,,,,,7,False
17.25,love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,,1.0,,,,8.0,,12.0,13.0,,,8.0,,,,,,,,,9.0,7,False
17.6,Pressure,Ari Lennox,,,,7.0,15.0,4.0,,,,,6.0,16.0,,,,,,10.0,,,,7,False
17.8,Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,,12.0,,10.0,20.0,12.0,,15.0,,,15.0,12.0,16.0,,,,,,,,13.0,10,False
17.9,Have Mercy,Chlöe,,,13.0,,11.0,,16.0,,,14.0,,,,14.0,,12.0,18.0,20.0,20.0,10.0,,11,False
18.25,Chosen,Blxst & Tyga Feat. Ty Dolla $ign,,3.0,,,,18.0,,,,12.0,,10.0,11.0,,,,17.0,,,,,7,False
18.75,Love Nwantiti (Ah Ah Ah),CKay,,13.0,14.0,,,,,10.0,,11.0,,,15.0,18.0,,,,,,,,7,False
19.2,Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,,,,5.0,,,,,,,1.0,,,,,,,,,,,3,False
19.2,I Hate U,SZA,,4.0,,,,19.0,,,,,,4.0,,,,,,,,,,4,False
19.55,Beautiful Lies,Yung Bleu & Kehlani,,,,,14.0,16.0,,,,,,,,,,11.0,,14.0,,,,5,False
19.55,Hurricane,Kanye West,,,6.0,,,,,,,13.0,,,,15.0,,,,,,,,4,False
19.6,Ameno Amapiano (Remix),Goya Menor & Nektunez,,7.0,,,,17.0,,,,,11.0,,,,,,,,,,,4,False
19.6,Bubbly (with Drake & Travis Scott),Young Thug,,,,,19.0,7.0,9.0,,,,,,,,,,,,,,,4,False
20.15,Your Turn,"Ty Dolla $ign Feat. Musiq Soulchild, Tish Hyman & 6LACK",,,,,,13.0,,,,,12.0,,,,,,,,,,,3,False
20.25,Me or Sum,Nardo Wick Feat. Future & Lil Baby,,,,,,6.0,,,,,,,,,,,,,,,,2,False
20.3,El Incomprendido,"Farruko, Victor Cardenas & Dj Adoni",,,,,,,,7.0,,,,,,,,,,,,,,2,False
20.35,Poke It Out,Wale Feat. Cool & Dre & J. Cole,,,16.0,,,,,,,18.0,,20.0,,,,17.0,,,,,,5,False
20.4,Hello It's Me,Todd Rundgren,,,19.0,,,,,,,,,,,,,,11.0,,,,,3,False
20.4,We Set The Trends,Jim Jones & Migos,,9.0,,,,,,,,,,,,,,,,,,,,2,False
20.55,Stay,The Kid LAROI & Justin Bieber,,,,,,,,,,,,,,,14.0,,,,,19.0,,3,False
20.6,Forever Tippin,"Yung Pooda, DJ Chose & Dre",,,,,13.0,,,,,,,,,,,,,,,,,2,False
20.6,I'll Think About You,We Are Messengers,,,,,,,,,,,,,,,,,,,,13.0,,2,False
20.65,Somethin About Ya (Acoustic),J.Howell,,,,,,,,,,,14.0,,,,,,,,,,,2,False
20.65,Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",,,,,,,,,18.0,,,,,,,,,,17.0,,,3,False
20.65,Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,,19.0,,,,,,,,,19.0,,,,,,,,,,18.0,4,False
20.75,323 Go Crazy,DOM KENNEDY,,,,,,,,,,,16.0,,,,,,,,,,,2,False
20.75,Si Te Pudiera Mentir,Calibre 50,,,,,16.0,,,,,,,,,,,,,,,,,2,False
20.8,love nwantiti (North African Remix),CKay Feat. ElGrande Toto,,20.0,,,,,,18.0,,,,,,,,,,,,,,3,False
20.85,Ghost,Justin Bieber,,,,,,,,,,,,,,,,,,,18.0,,,2,False
20.85,Gyalis,Capella Grey,,18.0,,,,,,,,,,,,,,,,,,,,2,False
20.9,You Right,Doja Cat & The Weeknd,,,,,,,,,,,,,,,,,19.0,,,,,2,False
20.9,edamame,bbno$ Feat. Rich Brian,,,,,,,,,,,,,,,,19.0,,,,,,2,False
20.95,"Volver, Volver",Vicente Fernández,,,20.0,,,,,,,,,,,,,,,,,,,2,False
20.95,Countless Times,Marzz,,,,,,,,,,,20.0,,,,,,,,,,,2,False
